lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
1e-06,2022-10-18 02:56:54.803325,,,,,,,,
,2022-10-18 02:56:56.493707,0.12989212572574615,0.0004271856159903109,0.12989212572574615,49.0,0.0,,,
1e-06,2022-10-18 02:59:29.527633,,,,,,,,
,2022-10-18 02:59:32.929243,0.016360333189368248,6.893008685437962e-05,0.016360333189368248,99.0,0.0,,,
1e-06,2022-10-18 03:02:03.158140,,,,,,,,
,2022-10-18 03:02:05.422654,0.025906942784786224,0.00010349018702981994,0.025906942784786224,149.0,0.0,,,
1e-06,2022-10-18 03:03:25.232835,,,,,,,,
,2022-10-18 03:03:26.906213,0.007991915568709373,3.965978612541221e-05,0.007991915568709373,199.0,0.0,,,
1e-06,2022-10-18 03:05:15.525171,,,,,,,,
,2022-10-18 03:05:18.995955,0.00503819715231657,2.592060081951786e-05,0.00503819715231657,249.0,0.0,,,
1e-06,2022-10-18 03:07:33.188037,,,,,,,,
,2022-10-18 03:07:35.712335,0.11945397406816483,0.00039238957106135786,0.11945397406816483,299.0,0.0,,,
1e-06,2022-10-18 03:09:53.480563,,,,,,,,
,2022-10-18 03:09:56.345022,0.126274973154068,0.0004222011484671384,0.126274973154068,349.0,0.0,,,
1e-06,2022-10-18 03:12:14.144780,,,,,,,,
,2022-10-18 03:12:17.007812,0.1802450716495514,0.0006622455548495054,0.1802450716495514,399.0,0.0,,,
1e-06,2022-10-18 03:14:31.881247,,,,,,,,
,2022-10-18 03:14:34.639871,0.012735716998577118,5.788289490737952e-05,0.012735716998577118,449.0,0.0,,,
1e-06,2022-10-18 03:16:41.656287,,,,,,,,
,2022-10-18 03:19:47.357730,0.005143651273101568,2.767971091088839e-05,0.005143651273101568,499.0,0.0,,,
1e-06,2022-10-18 03:22:04.068351,,,,,,,,
,2022-10-18 03:22:07.297816,0.01380782201886177,6.564377690665424e-05,0.01380782201886177,549.0,0.0,,,
1e-06,2022-10-18 03:24:15.765920,,,,,,,,
,2022-10-18 03:24:17.564326,0.008776649832725525,4.6820638090139255e-05,0.008776649832725525,599.0,0.0,,,
1e-06,2022-10-18 03:25:50.975276,,,,,,,,
,2022-10-18 03:25:53.041374,0.01403198391199112,6.307122384896502e-05,0.01403198391199112,649.0,0.0,,,
1e-06,2022-10-18 03:27:57.034186,,,,,,,,
,2022-10-18 03:27:59.708791,0.649419903755188,0.015843484550714493,0.649419903755188,699.0,0.0,,,
1e-06,2022-10-18 03:30:16.469539,,,,,,,,
,2022-10-18 03:30:19.312182,0.1339302659034729,0.00044425841770134866,0.1339302659034729,749.0,0.0,,,
1e-06,2022-10-18 03:32:37.217893,,,,,,,,
,2022-10-18 03:32:39.026643,0.3066070079803467,0.0017684977501630783,0.3066070079803467,799.0,0.0,,,
1e-06,2022-10-18 03:34:13.759895,,,,,,,,
,2022-10-18 03:34:15.560959,0.006415023934096098,2.9984092179802246e-05,0.006415023934096098,849.0,0.0,,,
1e-06,2022-10-18 03:35:40.566702,,,,,,,,
,2022-10-18 03:35:54.171985,0.0099494569003582,4.5919390686322004e-05,0.0099494569003582,899.0,0.0,,,
1e-06,2022-10-18 03:37:11.109401,,,,,,,,
,2022-10-18 03:37:12.783780,0.6625711917877197,0.01854957453906536,0.6625711917877197,949.0,0.0,,,
1e-06,2022-10-18 03:38:28.958025,,,,,,,,
,2022-10-18 03:39:22.822217,0.17348039150238037,0.000638411904219538,0.17348039150238037,999.0,0.0,,,
,2022-10-18 03:39:22.870228,,,,,0.0,0.1306619793176651,0.0019276115344837308,0.1306619793176651
